person_id,gender,age_group,cemetery,cemetery_code,cemetery_id
sb-FAO90-2236.0,male,26-35,St. Bride's,FAO90,sb
sb-FAO90-2245.0,male,26-35,St. Bride's,FAO90,sb
sb-FAO90-2249.0,female,Adult,St. Bride's,FAO90,sb
sb-FAO90-2251.0,male,46+,St. Bride's,FAO90,sb
sb-FAO90-2255.0,female,36-45,St. Bride's,FAO90,sb
sb-FAO90-2272.0,male,36-45,St. Bride's,FAO90,sb
sb-FAO90-2274.0,male,46+,St. Bride's,FAO90,sb
sb-FAO90-2284.0,female,46+,St. Bride's,FAO90,sb
sb-FAO90-2284.1,male,36-45,St. Bride's,FAO90,sb
sb-FAO90-2298.0,female,46+,St. Bride's,FAO90,sb
sb-FAO90-2300.0,female,36-45,St. Bride's,FAO90,sb
sb-FAO90-2300.2,male,Adult,St. Bride's,FAO90,sb
sb-FAO90-2313.0,male,46+,St. Bride's,FAO90,sb
sb-FAO90-2314.0,male,36-45,St. Bride's,FAO90,sb
sb-FAO90-2318.0,unknown,18-25,St. Bride's,FAO90,sb
sb-FAO90-2340.0,male,36-45,St. Bride's,FAO90,sb
sb-FAO90-2353.0,female,36-45,St. Bride's,FAO90,sb
sb-FAO90-2356.0,male,46+,St. Bride's,FAO90,sb
sb-FAO90-2378.0,male,26-35,St. Bride's,FAO90,sb
